GEOID,STATEFP,NAME,count_bgs,census_ua,RUCC_2013,RUCA_2010,avail_wt_final,access1_wt_final,access2_wt_final,access3_wt_final,carr_wt_final,Dist_to_metro_wt_final,pop_density_wt_final,perc_developed_wt_final
01001,01,Autauga,46,Urban,2,1,-0.31533593,1.429341871,1.697796786,1.204747172,0.54769405,3.9867E-13,35.37959245,1.491058634
01003,01,Baldwin,117,Urban,3,1,-0.313027846,0.812426261,1.647772172,0.894143582,0.539100256,7.10389E-14,40.53439785,1.996675347
01005,01,Barbour,41,Rural,6,7,-0.317403023,2.178290103,2.312937084,2.197867842,0.574568294,13.77686934,10.82561919,0.831307471
01007,01,Bibb,28,Urban,1,2,-0.317386225,1.135197015,1.814849857,0.999227133,0.54466423,1.0589E-12,13.86941725,0.862274876
01009,01,Blount,64,Rural,1,2,-0.316776753,0.725442116,1.232548923,0.776043471,0.533941297,2.22764E-13,34.22962142,1.607425979
01011,01,Bullock,19,Rural,6,2,-0.318566182,2.19405392,2.165160907,2.251463183,0.574728283,15.31860588,6.329386467,0.509897538
01013,01,Butler,31,Rural,6,2,-0.317437292,2.39452483,2.264267078,2.576504071,0.583789903,23.4500334,9.841644895,0.623823437
01015,01,Calhoun,109,Urban,3,1,-0.3058852,0.171902908,0.827621273,0.369371518,0.521338437,3.10824E-07,72.27719992,3.793422706
01017,01,Chambers,46,Urban,6,4,-0.315211362,0.987882261,1.534304397,1.06787603,0.547583125,13.45023279,21.5485044,1.356999753
01019,01,Cherokee,33,Rural,6,2,-0.31773936,0.973664339,1.666700053,1.101971001,0.547123943,9.514086925,16.66932881,1.303090993
01021,01,Chilton,50,Rural,1,2,-0.317374887,1.389090912,1.483287775,1.21264956,0.545615194,5.23208E-13,24.27180075,1.465674922
01023,01,Choctaw,31,Rural,9,10,-0.318719172,3.145734953,2.461465471,2.501888257,0.594995684,31.32683615,5.419253954,0.4710459
01025,01,Clarke,39,Rural,7,10,-0.317699146,2.915521089,2.597825819,2.525694861,0.589470441,20.67444303,7.437381769,0.477530015
01027,01,Clay,29,Rural,9,2,-0.318805582,1.317377431,1.875150863,1.185283039,0.562307315,29.95459361,8.497409835,0.453965386
01029,01,Cleburne,22,Rural,8,2,-0.318327391,0.736231147,1.948407644,0.854321163,0.544212636,6.555683852,10.26552339,0.744968129
01031,01,Coffee,43,Rural,4,4,-0.316236187,1.700688826,1.32575592,1.897976228,0.563216677,22.71358576,29.3122171,1.651551904
01033,01,Colbert,65,Urban,3,1,-0.312746886,0.612913528,1.162283573,0.662237088,0.531053419,1.14333E-12,33.91597597,2.527971645
01035,01,Conecuh,26,Rural,7,10,-0.318704282,2.379289947,2.534662169,2.416702239,0.593038656,41.58488586,5.61159819,0.460243799
01037,01,Coosa,27,Rural,8,2,-0.318443144,1.656086715,2.027793041,1.406472851,0.561255293,14.30167802,6.232913453,0.33287215
01039,01,Covington,50,Rural,6,7,-0.316970206,1.941171546,2.015479753,2.288703383,0.574535547,22.1613386,13.76065049,1.062248422
01041,01,Crenshaw,27,Rural,6,2,-0.318600437,2.223467986,2.207829818,2.366102214,0.580936006,25.33007268,8.749059539,0.532540782
01043,01,Cullman,78,Rural,4,5,-0.31411741,0.671872925,1.216379565,0.818609355,0.537441048,9.096009115,42.36930686,2.886556203
01045,01,Dale,61,Urban,4,4,-0.314235367,0.765925965,0.700044202,1.159814904,0.538532752,12.43250801,33.81326464,2.171934274
01047,01,Dallas,56,Rural,4,4,-0.315435484,1.822075564,2.417049979,1.524438093,0.569052121,19.27071387,15.20913849,1.051676592
01049,01,DeKalb,76,Rural,6,10,-0.314405097,0.610433578,1.100203509,0.834763765,0.5395316,16.01394474,35.35802508,2.052536133
01051,01,Elmore,74,Urban,2,2,-0.313469771,1.185289887,0.89943195,1.120270661,0.537858325,2.72652E-13,47.68332682,1.852631621
